Date,Total Daily Amount
2022-09-30,385826.0
2022-10-01,253610.0
2022-10-02,242170.0
2022-10-03,254350.0
2022-10-04,40210.0
2022-10-05,371780.0
2022-10-06,309120.0
2022-10-07,35130.0
2022-10-08,176410.0
2022-10-09,75940.0
2022-10-10,171310.0
2022-10-13,130273.0
2022-11-01,169610.0
2022-11-02,160800.0
2022-11-03,169260.0
2022-11-04,834810.0
2022-11-05,421370.0
2022-11-06,72200.0
2022-11-07,184380.0
2022-11-08,333523.0
2022-11-09,35090.0
2022-11-10,483885.0
2022-12-01,152520.0
2022-12-02,82040.0
2022-12-03,81970.0
2022-12-04,530260.0
2022-12-05,495152.0
2022-12-06,38220.0
2022-12-07,264735.0
2022-12-08,221038.0
2022-12-09,653012.0
2022-12-10,344509.0
